Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
69,4/14/2020 10:11,640131173.9,6133.985,-69.1,157.09,719216,81.084,198.56,-99.99,199.79,-99.99,201.02,-99.99,200.99,-9.99,202.24,-9.99,203.48,-9.99,7.15523E+22,9.9,105.981,1.873
70,4/14/2020 10:11,640131174,6133.816,-69.11,157.09,717757,80.919,206.22,-99.99,207.45,-99.99,208.68,-99.99,202.06,-9.99,203.27,-9.99,204.47,-9.99,7.39173E+22,9.9,105.978,1.874
71,4/14/2020 10:11,640131174.1,6133.67,-69.11,157.09,716497,80.777,213.03,-99.99,214.26,-99.99,215.49,-99.99,202.84,-9.99,204.01,-9.99,205.19,-9.99,7.60684E+22,9.9,105.975,1.874
72,4/14/2020 10:11,640131174.1,6133.536,-69.11,157.09,715340,80.647,219.47,-99.99,220.7,-99.99,221.93,-99.99,203.24,-9.99,204.37,-9.99,205.51,-9.99,7.8216E+22,9.9,105.972,1.874
73,4/14/2020 10:11,640131174.2,6133.395,-69.12,157.08,714122,80.51,226.45,-99.99,227.68,-99.99,228.91,-99.99,203.52,-9.99,204.63,-9.99,205.74,-9.99,8.05869E+22,9.9,105.97,1.874
74,4/14/2020 10:11,640131174.3,6133.283,-69.12,157.08,713155,80.4,232.14,-99.99,233.37,-99.99,234.6,-99.99,203.31,-9.99,204.38,-9.99,205.46,-9.99,8.27031E+22,9.9,105.967,1.874
75,4/14/2020 10:11,640131174.3,6133.156,-69.12,157.08,712058,80.277,238.79,-99.99,240.02,-99.99,241.25,-99.99,202.96,-9.99,204.01,-9.99,205.05,-9.99,8.52126E+22,9.9,105.964,1.874
76,4/14/2020 10:11,640131174.4,6132.994,-69.12,157.08,710659,80.119,247.54,-99.99,248.77,-99.99,250,-99.99,203.24,-9.99,204.25,-9.99,205.26,-9.99,8.82138E+22,9.9,105.961,1.875
77,4/14/2020 10:11,640131174.4,6132.855,-69.13,157.07,709458,79.984,255.29,-99.99,256.52,-99.99,257.75,-99.99,203.52,-9.99,204.5,-9.99,205.48,-9.99,9.0853E+22,9.9,105.959,1.875
78,4/14/2020 10:11,640131174.5,6132.682,-69.13,157.07,707964,79.815,265.25,-99.99,266.48,-99.99,267.71,-99.99,204.4,-9.99,205.35,-9.99,206.3,-9.99,9.39914E+22,9.9,105.956,1.875
79,4/14/2020 10:11,640131174.6,6132.542,-69.13,157.07,706755,79.679,273.57,-99.99,274.8,-99.99,276.03,-99.99,205.1,-9.99,206.02,-9.99,206.94,-9.99,9.66074E+22,9.9,105.953,1.875
80,4/14/2020 10:11,640131174.6,6132.395,-69.13,157.07,705485,79.536,282.54,-99.99,283.77,-99.99,285,-99.99,205.78,-9.99,206.67,-9.99,207.57,-9.99,9.94489E+22,9.9,105.95,1.875
81,4/14/2020 10:11,640131174.7,6132.269,-69.14,157.06,704396,79.413,290.45,-99.99,291.69,-99.99,292.92,-99.99,206.15,-9.99,207.02,-9.99,207.9,-9.99,1.02048E+23,9.9,105.948,1.875
82,4/14/2020 10:11,640131174.8,6132.15,-69.14,157.06,703368,79.297,298.12,-99.99,299.35,-99.99,300.58,-99.99,206.29,-9.99,207.14,-9.99,207.99,-9.99,1.04672E+23,9.9,105.945,1.876
83,4/14/2020 10:11,640131174.8,6132,-69.14,157.06,702073,79.151,308.06,-99.99,309.29,-99.99,310.52,-99.99,206.73,-9.99,207.56,-9.99,208.38,-9.99,1.07929E+23,9.9,105.942,1.876
